"Gene","Classificacao","Frequencia"
"MLH1","Pathogenic (PM2+)",1462
"MLH1","Likely Pathogenic (NA+P)",168
"MLH1","VUS (AF intermediária)",72
"EPM2AIP1","Pathogenic (PM2+)",13
"EPM2AIP1","Likely Pathogenic (NA+P)",4
"LRRFIP2","Pathogenic (PM2+)",3
"EPM2AIP1","VUS (AF intermediária)",2
"ACAA1","Likely Pathogenic (NA+P)",1
"LOC129936342","Likely Pathogenic (NA+P)",1
"ABHD14A","Pathogenic (PM2+)",1
"ACAA1","Pathogenic (PM2+)",1
"APRG1","Pathogenic (PM2+)",1
"AZI2","Pathogenic (PM2+)",1
"LOC126806655","Pathogenic (PM2+)",1
"LOC129936470","Pathogenic (PM2+)",1
"LOC129936471","Pathogenic (PM2+)",1
"ABHD5","VUS (AF intermediária)",1
"ANKRD28","VUS (AF intermediária)",1
"KIAA1143","VUS (AF intermediária)",1
"KRABD1-AS1","VUS (AF intermediária)",1
"LRRFIP2","VUS (AF intermediária)",1
"MOBP","VUS (AF intermediária)",1
"ABHD14A","Likely Pathogenic (NA+P)",0
"ABHD5","Likely Pathogenic (NA+P)",0
"ANKRD28","Likely Pathogenic (NA+P)",0
"APRG1","Likely Pathogenic (NA+P)",0
"AZI2","Likely Pathogenic (NA+P)",0
"KIAA1143","Likely Pathogenic (NA+P)",0
"KRABD1-AS1","Likely Pathogenic (NA+P)",0
"LOC126806655","Likely Pathogenic (NA+P)",0
"LOC129936470","Likely Pathogenic (NA+P)",0
"LOC129936471","Likely Pathogenic (NA+P)",0
"LRRFIP2","Likely Pathogenic (NA+P)",0
"MOBP","Likely Pathogenic (NA+P)",0
"ABHD5","Pathogenic (PM2+)",0
"ANKRD28","Pathogenic (PM2+)",0
"KIAA1143","Pathogenic (PM2+)",0
"KRABD1-AS1","Pathogenic (PM2+)",0
"LOC129936342","Pathogenic (PM2+)",0
"MOBP","Pathogenic (PM2+)",0
"ABHD14A","VUS (AF intermediária)",0
"ACAA1","VUS (AF intermediária)",0
"APRG1","VUS (AF intermediária)",0
"AZI2","VUS (AF intermediária)",0
"LOC126806655","VUS (AF intermediária)",0
"LOC129936342","VUS (AF intermediária)",0
"LOC129936470","VUS (AF intermediária)",0
"LOC129936471","VUS (AF intermediária)",0
