"Gene","Total_Variantes","Percentual","Pathogenic","VUS","Pct_Pathogenic","Severidade"
"MLH1",1702,97.87,1630,72,95.77,"Crítico"
"EPM2AIP1",19,1.09,17,2,89.47,"Crítico"
"LRRFIP2",4,0.23,3,1,75,"Crítico"
"ACAA1",2,0.12,2,0,100,"Crítico"
"ABHD14A",1,0.06,1,0,100,"Crítico"
"ABHD5",1,0.06,0,1,0,"Baixo"
"ANKRD28",1,0.06,0,1,0,"Baixo"
"APRG1",1,0.06,1,0,100,"Crítico"
"AZI2",1,0.06,1,0,100,"Crítico"
"KIAA1143",1,0.06,0,1,0,"Baixo"
"KRABD1-AS1",1,0.06,0,1,0,"Baixo"
"LOC126806655",1,0.06,1,0,100,"Crítico"
"LOC129936342",1,0.06,1,0,100,"Crítico"
"LOC129936470",1,0.06,1,0,100,"Crítico"
"LOC129936471",1,0.06,1,0,100,"Crítico"
"MOBP",1,0.06,0,1,0,"Baixo"
