"Gene","Frequencia_afetacoes","Percentual"
"MLH1",1745,19.21
"EPM2AIP1",31,0.34
"LOC129936471",16,0.18
"LRRFIP2",16,0.18
"TRANK1",14,0.15
"APRG1",11,0.12
"ARPP21",11,0.12
"DCLK3",11,0.12
"GOLGA4",11,0.12
"MIR128-2",11,0.12
"PDCD6IP",11,0.12
"STAC",11,0.12
"AZI2",10,0.11
"CCR4",10,0.11
"CLASP2",10,0.11
"CMC1",10,0.11
"CMTM6",10,0.11
"CMTM7",10,0.11
"CMTM8",10,0.11
"CNOT10",10,0.11
"CRTAP",10,0.11
"DYNC1LI1",10,0.11
"EFHB",10,0.11
"EOMES",10,0.11
"FBXL2",10,0.11
"GADL1",10,0.11
"GLB1",10,0.11
"GPD1L",10,0.11
"ITGA9",10,0.11
"KAT2B",10,0.11
"KCNH8",10,0.11
"LRRC3B",10,0.11
"NEK10",10,0.11
"NGLY1",10,0.11
"NKIRAS1",10,0.11
"NR1D2",10,0.11
"OSBPL10",10,0.11
"OXSM",10,0.11
"PLCL2",10,0.11
"PP2D1",10,0.11
"RAB5A",10,0.11
"RARB",10,0.11
"RBMS3",10,0.11
"RPL15",10,0.11
"SATB1",10,0.11
"SGO1",10,0.11
"SLC4A7",10,0.11
"STT3B",10,0.11
"SUSD5",10,0.11
"TBC1D5",10,0.11
"TGFBR2",10,0.11
"THRB",10,0.11
"TMPPE",10,0.11
"TOP2B",10,0.11
"TRIM71",10,0.11
"UBE2E1",10,0.11
"UBE2E2",10,0.11
"UBP1",10,0.11
"ZCWPW2",10,0.11
"ZNF385D",10,0.11
"ZNF860",10,0.11
"ACAA1",9,0.1
"ACVR2B",9,0.1
"CTDSPL",9,0.1
"DLEC1",9,0.1
"EXOG",9,0.1
"MIR26A1",9,0.1
"MYD88",9,0.1
"OXSR1",9,0.1
"PLCD1",9,0.1
"SCN10A",9,0.1
"SCN11A",9,0.1
"SCN5A",9,0.1
"SLC22A13",9,0.1
"SLC22A14",9,0.1
"VILL",9,0.1
"XYLB",9,0.1
"ANKRD28",8,0.09
"ATG7",8,0.09
"BTD",8,0.09
"C3orf20",8,0.09
"CAND2",8,0.09
"CAPN7",8,0.09
"CCDC174",8,0.09
"CCR8",8,0.09
"CHCHD4",8,0.09
"COLQ",8,0.09
"CSRNP1",8,0.09
"CX3CR1",8,0.09
"DAZL",8,0.09
"DPH3",8,0.09
"EAF1",8,0.09
"EIF1B",8,0.09
"ENTPD3",8,0.09
"FBLN2",8,0.09
"FGD5",8,0.09
"FGD5-AS1",8,0.09
"GALNT15",8,0.09
"GORASP1",8,0.09
"GRIP2",8,0.09
"HACL1",8,0.09
"HDAC11",8,0.09
"IQSEC1",8,0.09
"LSM3",8,0.09
"METTL6",8,0.09
"MKRN2",8,0.09
"MOBP",8,0.09
"MRPS25",8,0.09
"MYRIP",8,0.09
"NR2C2",8,0.09
"NUP210",8,0.09
"OXNAD1",8,0.09
"PPARG",8,0.09
"RAF1",8,0.09
"RBSN",8,0.09
"RFTN1",8,0.09
"RPL14",8,0.09
"RPL32",8,0.09
"RPSA",8,0.09
"SH3BP5",8,0.09
"SLC25A38",8,0.09
"SLC6A6",8,0.09
"SNORA62",8,0.09
"SYN2",8,0.09
"TAMM41",8,0.09
"TIMP4",8,0.09
"TMEM40",8,0.09
"TMEM43",8,0.09
"TSEN2",8,0.09
"TTC21A",8,0.09
"VGLL4",8,0.09
"WDR48",8,0.09
"WNT7A",8,0.09
"XIRP1",8,0.09
"XPC",8,0.09
"ZNF619",8,0.09
"ZNF620",8,0.09
"ZNF621",8,0.09
"ARL8B",7,0.08
"ARPC4",7,0.08
"ARPC4-TTLL3",7,0.08
"ATP2B2",7,0.08
"BHLHE40",7,0.08
"BRK1",7,0.08
"BRPF1",7,0.08
"CAMK1",7,0.08
"CAV3",7,0.08
"CIDEC",7,0.08
"CNTN4",7,0.08
"CPNE9",7,0.08
"CRBN",7,0.08
"CRELD1",7,0.08
"CTNNB1",7,0.08
"EDEM1",7,0.08
"EGOT",7,0.08
"EMC3",7,0.08
"FANCD2",7,0.08
"FANCD2OS",7,0.08
"GHRL",7,0.08
"GHRLOS",7,0.08
"GRM7",7,0.08
"HRH1",7,0.08
"IL17RC",7,0.08
"IL17RE",7,0.08
"IL5RA",7,0.08
"IRAK2",7,0.08
"ITPR1",7,0.08
"JAGN1",7,0.08
"LHFPL4",7,0.08
"LINC00312",7,0.08
"LMCD1",7,0.08
"LOC115995508",7,0.08
"LOC129936464",7,0.08
"LOC129936465",7,0.08
"LOC129936466",7,0.08
"LOC129936467",7,0.08
"LOC129936468",7,0.08
"LOC129936469",7,0.08
"LOC129936470",7,0.08
"LRRN1",7,0.08
"MTMR14",7,0.08
"OGG1",7,0.08
"OXTR",7,0.08
"PRRT3",7,0.08
"RAD18",7,0.08
"RPUSD3",7,0.08
"SEC13",7,0.08
"SETD5",7,0.08
"SETMAR",7,0.08
"SLC6A1",7,0.08
"SLC6A11",7,0.08
"SRGAP3",7,0.08
"SSUH2",7,0.08
"SUMF1",7,0.08
"TADA3",7,0.08
"TATDN2",7,0.08
"THUMPD3",7,0.08
"TRNT1",7,0.08
"TTLL3",7,0.08
"VHL",7,0.08
"CHL1",6,0.07
"CNTN6",6,0.07
"LOC122889067",6,0.07
"LOC129936458",6,0.07
"LOC129936459",6,0.07
"LOC129936460",6,0.07
"LOC129936461",6,0.07
"LOC129936462",6,0.07
"LOC129936463",6,0.07
"ULK4",6,0.07
"ABHD5",5,0.06
"ACKR2",5,0.06
"ANO10",5,0.06
"ARPP21-AS1",5,0.06
"CCDC13",5,0.06
"CCK",5,0.06
"CDCP1",5,0.06
"CLEC3B",5,0.06
"CYP8B1",5,0.06
"EXOSC7",5,0.06
"GASK1A",5,0.06
"HHATL",5,0.06
"HIGD1A",5,0.06
"KIAA1143",5,0.06
"KIF15",5,0.06
"KLHL40",5,0.06
"LINC01811",5,0.06
"LINC02033",5,0.06
"LOC101928135",5,0.06
"LOC121009656",5,0.06
"LOC121009657",5,0.06
"LOC122889066",5,0.06
"LOC129389053",5,0.06
"LOC129389054",5,0.06
"LOC129389055",5,0.06
"LOC129936448",5,0.06
"LOC129936449",5,0.06
"LOC129936450",5,0.06
"LOC129936451",5,0.06
"LOC129936452",5,0.06
"LOC129936453",5,0.06
"LOC129936454",5,0.06
"LOC129936455",5,0.06
"LOC129936456",5,0.06
"LOC129936457",5,0.06
"LYZL4",5,0.06
"MIR138-1",5,0.06
"NKTR",5,0.06
"PDCD6IP-DT",5,0.06
"POMGNT2",5,0.06
"SEC22C",5,0.06
"SNRK",5,0.06
"SS18L2",5,0.06
"TCAIM",5,0.06
"TGM4",5,0.06
"TMEM42",5,0.06
"TOPAZ1",5,0.06
"TRAK1",5,0.06
"VIPR1",5,0.06
"ZBTB47",5,0.06
"ZDHHC3",5,0.06
"ZKSCAN7",5,0.06
"ZNF197",5,0.06
"ZNF35",5,0.06
"ZNF445",5,0.06
