"Condicao","Frequencia","Percentual"
"Lynch syndrome",503,28.83
"Hereditary cancer-predisposing syndrome",309,17.71
"Hereditary nonpolyposis colorectal neoplasms",210,12.03
"Colorectal cancer, hereditary nonpolyposis, type 2",145,8.31
"Hereditary cancer-predisposing syndrome|Colorectal cancer, hereditary nonpolyposis, type 2",67,3.84
"Hereditary nonpolyposis colorectal neoplasms|Hereditary cancer-predisposing syndrome|Colorectal cancer, hereditary nonpolyposis, type 2",39,2.23
"Hereditary nonpolyposis colorectal neoplasms|Hereditary cancer-predisposing syndrome",34,1.95
"Hereditary nonpolyposis colorectal neoplasms|Colorectal cancer, hereditary nonpolyposis, type 2",31,1.78
"Colorectal cancer, hereditary nonpolyposis, type 2|Hereditary nonpolyposis colorectal neoplasms",24,1.38
"not provided",22,1.26
"Lynch syndrome 1",21,1.2
"Hereditary nonpolyposis colon cancer",18,1.03
"Hereditary cancer-predisposing syndrome|Hereditary nonpolyposis colorectal neoplasms",17,0.97
"Hereditary nonpolyposis colorectal neoplasms|Hereditary cancer-predisposing syndrome|not provided|Colorectal cancer, hereditary nonpolyposis, type 2",15,0.86
"Hereditary cancer-predisposing syndrome|Hereditary nonpolyposis colorectal neoplasms|Colorectal cancer, hereditary nonpolyposis, type 2",14,0.8
"Lynch-like syndrome",12,0.69
"Colorectal cancer, hereditary nonpolyposis, type 2|Hereditary cancer-predisposing syndrome",11,0.63
"Hereditary nonpolyposis colorectal neoplasms|Colorectal cancer, hereditary nonpolyposis, type 2|Hereditary cancer-predisposing syndrome",11,0.63
"Carcinoma of colon",9,0.52
"Hereditary cancer-predisposing syndrome|not provided|Colorectal cancer, hereditary nonpolyposis, type 2",8,0.46
